playerID,ba_2014,ba_2015
abreujo02,0.316546763,0.290375204
altuvjo01,0.340909091,0.313479624
andruel01,0.263327948,0.258389262
aybarer01,0.278438031,0.269681742
bautijo02,0.285714286,0.250460405
beltrad01,0.324225865,0.287477954
blackch02,0.28836425,0.286644951
bogaexa01,0.239776952,0.319738989
brantmi02,0.327332242,0.310018904
braunry02,0.266037736,0.28458498
bruceja01,0.21703854,0.225862069
butlebi03,0.27140255,0.250929368
cabreme01,0.301056338,0.273449921
cabremi01,0.312602291,0.337995338
cainlo01,0.3014862,0.306715064
calhoko01,0.271805274,0.255555556
canoro01,0.314285714,0.286858974
carpema01,0.272268908,0.271777003
casteni01,0.25891182,0.255009107
castrst01,0.291666667,0.265082267
choosh01,0.241758242,0.275675676
crawfbr01,0.246435845,0.256410256
cruzne02,0.270799347,0.301694915
davisch02,0.195555556,0.261780105
desmoia01,0.254637437,0.233276158
doljo02,0.254934211,0.296774194
doziebr01,0.242474916,0.23566879
dudalu01,0.252918288,0.244161359
eatod02,0.300411523,0.286885246
encared01,0.268343816,0.276515152
escobal02,0.284974093,0.256535948
escobyu01,0.258403361,0.314018692
fowlede01,0.276497696,0.25
frazito01,0.273031826,0.255250404
gardnbr01,0.255855856,0.259194396
gonzaad01,0.275803723,0.274956217
gordode01,0.288998358,0.333333333
grandcu01,0.226950355,0.25862069
heywaja01,0.270506108,0.29250457
hosmeer01,0.270377734,0.297161937
howarry01,0.223198594,0.229122056
hunteto01,0.285974499,0.239923225
jonesad01,0.281055901,0.269230769
kempma01,0.28650647,0.265100671
kinslia01,0.274853801,0.296474359
kipnija01,0.24,0.302654867
lemahdj01,0.267206478,0.30141844
longoev01,0.253205128,0.26986755
markani01,0.275700935,0.295751634
martest01,0.290909091,0.286701209
mauerjo01,0.276923077,0.265202703
mccanbr01,0.232323232,0.232258065
mccutan01,0.313868613,0.291519435
moustmi01,0.212253829,0.284153005
murphda08,0.288590604,0.280561122
ortizda01,0.262548263,0.272727273
peraljh01,0.2625,0.274611399
perezsa02,0.259515571,0.259887006
plouftr01,0.257692308,0.244328098
poseybu01,0.310786106,0.317773788
pujolal01,0.271721959,0.244186047
ramiral03,0.273311897,0.248713551
rizzoan01,0.286259542,0.278156997
rolliji01,0.243494424,0.224371373
sandopa01,0.278911565,0.244680851
santaca01,0.231053604,0.230909091
seageky01,0.26779661,0.266452648
segurje01,0.245614035,0.257142857
simmoan01,0.244444444,0.265420561
troutmi01,0.287375415,0.299130435
uptonju01,0.270318021,0.250922509
walkene01,0.271484375,0.268876611
yelicch01,0.283505155,0.300420168
